,RMSD,P-VALUE,INF-ALL,INF-WC,INF-NWC,INF-STACK,DI,MCQ,TM-score,CAD,BARNABA-RMSD,BARNABA-eRMSD,BARNABA-eSCORE,CLASH,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,lDDT
normalized_simrna_r1190.pdb,29.316,0.03603463116755756,0.594,0.675,0.0,0.596,49.389,38.11,0.248,0.688,3.016,1.928,3.624,0.0,0.178,0.085,0.144,0.186,0.297,0.003
normalized_3drna_r1190_1.pdb,29.412,0.04046560285928452,0.616,0.763,0.0,0.557,47.732,47.51,0.238,0.696,2.976,1.408,2.517,0.0,0.214,0.093,0.186,0.28,0.297,0.514
normalized_alphafold3_R1190_5.pdb,29.522,0.04607297042813446,0.653,0.754,0.0,0.622,45.228,32.11,0.332,0.709,3.026,1.561,4.062,0.0,0.237,0.136,0.22,0.28,0.314,0.51
normalized_trrosettarna_r1190_1.pdb,29.629,0.052101610003690235,0.566,0.718,0.0,0.56,52.376,38.33,0.193,0.684,3.025,1.478,2.06,0.0,0.199,0.102,0.161,0.229,0.305,0.514
normalized_trrosettarna_r1190_4.pdb,29.712,0.057235791018996784,0.487,0.591,0.0,0.478,60.998,43.52,0.194,0.682,3.023,1.562,1.638,0.0,0.193,0.093,0.144,0.212,0.322,0.488
normalized_rnajp_r1190.pdb,29.941,0.07331559889878447,0.684,0.8,0.0,0.659,43.777,34.06,0.237,0.708,3.075,1.432,3.457,0.0,0.229,0.119,0.195,0.288,0.314,0.056
normalized_vfoldpipeline_r1190.pdb,30.381,0.11376042396084263,0.65,0.788,0.0,0.587,46.775,39.96,0.249,0.701,3.096,1.35,2.572,0.0,0.233,0.119,0.229,0.28,0.305,0.508
normalized_vfold_r1190_3.pdb,31.01,0.19555353969582095,0.613,0.8,0.0,0.539,50.576,38.24,0.225,0.684,3.142,1.554,2.43,0.0,0.214,0.102,0.17,0.28,0.305,0.003
normalized_vfold_r1190_1.pdb,31.493,0.2778823670466113,0.646,0.788,0.0,0.584,48.744,41.84,0.221,0.701,3.18,1.568,2.102,0.0,0.208,0.093,0.161,0.271,0.305,0.008
normalized_vfold_r1190_4.pdb,32.434,0.4735706719136531,0.616,0.788,0.0,0.564,52.618,40.07,0.233,0.699,3.324,1.55,2.387,0.0,0.216,0.102,0.161,0.271,0.331,0.004
normalized_trrosettarna_r1190_2.pdb,32.707,0.5339530014352805,0.537,0.722,0.0,0.509,60.915,41.29,0.203,0.692,3.34,1.448,2.12,0.0,0.208,0.11,0.17,0.22,0.331,0.524
normalized_trrosettarna_r1190_5.pdb,32.785,0.5511526452378871,0.315,0.348,0.0,0.362,104.101,54.37,0.173,0.65,3.312,1.736,0.797,0.0,0.14,0.076,0.102,0.152,0.229,0.437
normalized_trrosettarna_r1190_3.pdb,34.221,0.8228871554572613,0.545,0.574,0.0,0.559,62.814,42.44,0.2,0.667,3.481,1.505,1.785,0.0,0.193,0.102,0.17,0.212,0.288,0.503
normalized_rnacomposer_r1190.pdb,35.591,0.9542629766666677,0.678,0.8,0.0,0.653,52.523,36.54,0.204,0.703,3.596,1.427,2.601,0.0,0.203,0.085,0.152,0.271,0.305,0.553
normalized_vfold_r1190_5.pdb,37.932,0.9985973701222636,0.66,0.8,0.0,0.614,57.481,41.34,0.235,0.714,3.856,1.405,2.409,0.0,0.223,0.11,0.17,0.288,0.322,0.005
