,RMSD,P-VALUE,INF-ALL,INF-WC,INF-NWC,INF-STACK,DI,MCQ,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,CLASH,TM-score,BARNABA-RMSD,BARNABA-eRMSD,BARNABA-eSCORE,lDDT,CAD,QS-score,LCS-TA-COVERAGE,LCS-TA-RESIDUES
normalized_3drna_rp14_bound_1.pdb,15.188,0.0001127602063123,0.634,0.731,0.0,0.674,23.973,26.76,0.369,0.23,0.377,0.41,0.459,0.0,0.321,1.569,1.582,0.854,0.317,0.651,,,
normalized_mcsym_rp14_bound_5.pdb,15.375,0.0001685967543126,0.619,0.779,0.0,0.615,24.852,35.42,0.279,0.131,0.213,0.344,0.426,0.0,0.182,1.686,1.569,1.36,0.004,0.635,,,
normalized_mcsym_rp14_bound_2.pdb,15.725,0.0003494514877355,0.573,0.779,0.0,0.554,27.425,36.63,0.299,0.115,0.246,0.361,0.475,0.0,0.232,1.703,1.619,1.306,0.01,0.637,,,
normalized_vfold_rp14_bound.pdb,16.349,0.0011676958599932,0.585,0.779,0.0,0.572,27.96,24.52,0.283,0.164,0.246,0.311,0.41,0.0,0.225,1.766,1.642,1.309,0.139,0.683,,,
normalized_rnacomposer_rp14_bound.pdb,16.466,0.0014466914914201,0.696,0.97,0.354,0.638,23.645,18.42,0.348,0.23,0.295,0.377,0.492,0.0,0.305,1.768,1.189,1.107,0.593,0.745,,,
normalized_3drna_rp14_bound_4.pdb,17.324,0.0061783210944534,0.66,0.97,0.0,0.6,26.245,31.15,0.246,0.147,0.213,0.279,0.344,0.0,0.181,1.856,1.576,0.996,0.496,0.678,,,
normalized_3drna_rp14_bound.pdb,18.312,0.0254175376793917,0.474,0.538,0.144,0.508,38.638,33.46,0.238,0.098,0.197,0.279,0.377,0.0,0.199,1.884,2.023,0.734,0.197,0.554,,,
normalized_3drna_rp14_bound_5.pdb,18.956,0.0553256641605852,0.46,0.804,0.177,0.372,41.197,34.14,0.266,0.147,0.23,0.279,0.41,0.0,0.219,1.976,1.779,0.658,0.258,0.627,,,
normalized_ifoldrna_rp14_bound_3.pdb,19.679,0.1163447583331436,0.177,0.0,0.0,0.331,111.323,33.08,0.156,0.082,0.115,0.18,0.246,0.0,0.142,2.04,2.207,0.131,0.0,0.547,,,
normalized_ifoldrna_rp14_bound_1.pdb,21.173,0.3579705311989803,0.189,0.0,0.0,0.308,111.871,30.3,0.164,0.066,0.115,0.18,0.295,0.0,0.135,2.138,2.137,0.185,0.027,0.507,,,
normalized_ifoldrna_rp14_bound_4.pdb,21.482,0.4238392816759286,0.229,0.0,0.0,0.361,93.888,33.42,0.156,0.066,0.115,0.164,0.279,0.0,0.137,2.193,2.196,0.135,0.005,0.527,,,
normalized_eprna_rp14_bound.pdb,22.293,0.6020580066944586,0.105,,0.0,0.206,211.491,94.82,0.127,0.049,0.082,0.147,0.23,0.0,0.127,2.229,2.235,0.058,0.0,0.506,,,
normalized_ifoldrna_rp14_bound_2.pdb,23.676,0.8477854345252374,0.171,,0.0,0.264,138.054,32.26,0.168,0.066,0.115,0.197,0.295,0.0,0.112,2.385,2.158,0.201,0.007,0.553,,,
normalized_ifoldrna_rp14_bound_5.pdb,32.762,0.9999999993798416,0.131,0.0,0.0,0.194,250.584,32.15,0.139,0.082,0.098,0.131,0.246,0.0,0.137,3.269,2.104,0.128,0.004,0.523,,,
normalized_simrna_rp14_bound.pdb,48.416,1.0,0.0,0.0,0.0,,inf,49.07,0.115,0.066,0.098,0.131,0.164,0.0,0.09,4.575,1.884,0.037,0.0,0.528,,,
normalized_alphafold3_rp14_bound_1.pdb,8.525,7.316369732279783e-14,0.853,0.972,0.612,0.846,9.992,12.6,0.5,0.279,0.377,0.541,0.803,0.0,0.358,0.861,0.856,1.666,0.614,0.863,0.0,100.0,61.0
normalized_alphafold3_rp14_bound_4.pdb,9.108,7.936984403045244e-13,0.861,0.972,0.707,0.846,10.577,12.57,0.492,0.279,0.361,0.541,0.787,0.0,0.342,0.92,0.861,1.662,0.737,0.862,0.0,100.0,61.0
normalized_alphafold3_rp14_bound_3.pdb,9.912,1.8020862579959385e-11,0.885,0.972,0.791,0.87,11.206,12.69,0.471,0.279,0.344,0.525,0.738,0.0,0.347,0.999,0.863,1.652,0.629,0.864,0.0,100.0,61.0
normalized_alphafold3_rp14_bound_2.pdb,10.329,8.410372398515165e-11,0.885,0.972,0.791,0.87,11.678,12.63,0.471,0.279,0.344,0.525,0.738,0.0,0.323,1.045,0.872,1.646,0.65,0.858,0.0,100.0,61.0
normalized_alphafold3_rp14_bound_5.pdb,10.799,4.4764975060118667e-10,0.877,0.972,0.791,0.858,12.316,12.65,0.467,0.279,0.361,0.508,0.721,0.0,0.359,1.095,0.874,1.638,0.628,0.859,0.0,100.0,61.0
